date,WTI_Price_USD,Brent_Price_USD
2018-09-26,72.22,81.87
2018-09-25,73.4,82.21
2018-09-24,73.23,80.89
2018-09-21,70.8,78.9
2018-09-20,70.77,79.03
2018-09-19,71.08,79.43
2018-09-18,69.87,79.25
2018-09-17,68.86,78.22
2018-09-14,68.98,77.87
2018-09-13,68.6,77.66
2018-09-12,70.37,80.02
2018-09-11,69.29,78.22
2018-09-10,67.55,76.77
2018-09-07,67.73,75.55
2018-09-06,67.81,75.67
2018-09-05,68.69,76.68
2018-09-04,69.82,77.51
2018-09-03,,77.81
2018-08-31,69.84,76.94
2018-08-30,70.25,77.05
2018-08-29,69.68,76.07
2018-08-28,68.54,75.91
2018-08-27,69.97,74.41
2018-08-24,69.71,74.41
2018-08-23,69.13,73.73
2018-08-22,67.85,72.96
2018-08-21,67.32,71.65
2018-08-20,66.5,71.11
2018-08-17,65.93,70.14
2018-08-16,65.44,69.21
2018-08-15,65.07,68.38
2018-08-14,67.04,70.77
2018-08-13,67.25,70.62
2018-08-10,67.61,71
2018-08-09,66.81,70.55
2018-08-08,66.92,70.71
2018-08-07,69.17,72.31
2018-08-06,69.01,72.51
2018-08-03,68.49,72.48
2018-08-02,68.95,72.95
2018-08-01,68.8,72.28
2018-07-31,69.88,74.16
2018-07-30,71.19,74.99
2018-07-27,68.66,74.84
2018-07-26,71.59,74.51
2018-07-25,71.13,73.67
2018-07-24,70.77,73.53
2018-07-23,67.9,73.45
2018-07-20,70.31,71.99
2018-07-19,69.42,71.94
2018-07-18,68.78,70.52
2018-07-17,68.03,70.87
2018-07-16,68.22,71.03
2018-07-13,71.03,74.11
2018-07-12,70.28,72.11
2018-07-11,70.47,75.35
2018-07-10,74.11,77.8
2018-07-09,73.93,77.08
2018-07-06,73.78,74.98
2018-07-05,73.05,77.09
2018-07-04,,76.99
2018-07-03,74.19,75.87
2018-07-02,73.89,76.71
2018-06-29,74.13,77.44
2018-06-28,73.45,76.26
2018-06-27,77.41,76.09
2018-06-26,75.23,73.58
2018-06-25,69.91,72.82
2018-06-22,69.02,73.67
2018-06-21,65.68,72.87
2018-06-20,65.92,74.25
2018-06-19,65.09,74.92
2018-06-18,65.91,74.87
2018-06-15,65.01,72.02
2018-06-14,66.91,74.77
2018-06-13,66.63,75.07
2018-06-12,66.38,74.86
2018-06-11,66.1,74.58
2018-06-08,65.77,75.11
2018-06-07,65.96,75.23
2018-06-06,64.75,73.23
2018-06-05,65.51,72.91
2018-06-04,64.76,73.41
2018-06-01,65.81,74.54
2018-05-31,66.98,76.45
2018-05-30,68.24,75.89
2018-05-29,66.8,74.51
2018-05-25,67.92,76.6
2018-05-24,70.77,78.9
2018-05-23,71.85,78.69
2018-05-22,72.09,80.42
2018-05-21,72.26,78.34
2018-05-18,71.23,78.38
2018-05-17,71.47,80.09
2018-05-16,71.43,78.19
2018-05-15,71.34,78.94
2018-05-14,71.01,78.17
2018-05-11,70.69,77.37
2018-05-10,71.36,77.59
2018-05-09,71.16,77.6
2018-05-08,68.83,74.16
2018-05-07,70.74,74.75
2018-05-04,69.71,74.75
2018-05-03,68.45,73.45
2018-05-02,67.91,73.14
2018-05-01,67.28,74.85
2018-04-30,68.56,75.92
2018-04-27,68.11,75.33
2018-04-26,68.18,75.39
2018-04-25,68,73.79
2018-04-24,67.66,75.86
2018-04-23,67.61,74.54
2018-04-20,68.26,74.62
2018-04-19,68.3,74.85
2018-04-18,68.44,73.73
2018-04-17,66.5,71.71
2018-04-16,66.23,73.18
2018-04-13,67.35,73.18
2018-04-12,67.07,71.44
2018-04-11,66.81,72.74
2018-04-10,65.48,70.67
2018-04-09,63.4,68.19
2018-04-06,62.03,66.51
2018-04-05,63.53,66.54
2018-04-04,63.35,66.04
2018-04-03,63.41,69.02
2018-04-02,63.05,69.02
2018-03-29,64.87,69.02
2018-03-28,64.3,68.13
2018-03-27,65.21,68.63
2018-03-26,65.49,68.81
2018-03-23,65.8,69.03
2018-03-22,64.25,68.98
2018-03-21,65.1,68.15
2018-03-20,63.37,66
2018-03-19,62.01,64.82
2018-03-16,62.29,64.68
2018-03-15,61.16,63.67
2018-03-14,60.89,63.61
2018-03-13,60.69,64.2
2018-03-12,61.35,64.53
2018-03-09,62.02,65.19
2018-03-08,60.13,63.87
2018-03-07,61.09,65.09
2018-03-06,62.54,65.67
2018-03-05,62.49,65.78
2018-03-02,61.19,64.26
2018-03-01,60.98,64.23
2018-02-28,61.43,66.08
2018-02-27,62.94,67.59
2018-02-26,63.81,67.96
2018-02-23,63.52,67.04
2018-02-22,62.72,66.12
2018-02-21,61.73,64.81
2018-02-20,61.91,64.68
2018-02-19,,64.95
2018-02-16,61.89,64.3
2018-02-15,61.48,62.86
2018-02-14,60.7,62.29
2018-02-13,59.33,61.94
2018-02-12,59.41,62.2
2018-02-09,59.2,63.04
2018-02-08,61.3,64.26
2018-02-07,61.91,65.74
2018-02-06,63.48,66.75
2018-02-05,64.18,67.69
2018-02-02,65.5,67.45
2018-02-01,65.92,68.6
2018-01-31,64.82,67.78
2018-01-30,64.64,67.78
2018-01-29,65.71,68.41
2018-01-26,66.27,70.08
2018-01-25,65.62,71.08
2018-01-24,65.69,69.91
2018-01-23,64.45,69.81
2018-01-22,63.66,69.32
2018-01-19,63.38,68.56
2018-01-18,63.96,69.48
2018-01-17,63.92,69.19
2018-01-16,63.82,69.4
2018-01-15,,70.31
2018-01-12,64.22,69.64
2018-01-11,63.81,70.36
2018-01-10,63.6,69.79
2018-01-09,62.92,69.08
2018-01-08,61.73,68.48
2018-01-05,61.49,68.01
2018-01-04,61.98,68.73
2018-01-03,61.61,67.85
2018-01-02,60.37,66.65
2017-12-29,60.46,66.73
2017-12-28,59.84,66.8
2017-12-27,59.67,66.03
2017-12-26,59.55,
2017-12-22,58.25,64.61
2017-12-21,58.34,64.64
2017-12-20,58.09,64.43
2017-12-19,57.49,63.69
2017-12-18,57.17,64.45
2017-12-15,57.29,63.81
2017-12-14,57,63.72
2017-12-13,56.59,63.66
2017-12-12,57.12,64.96
2017-12-11,57.84,65.62
2017-12-08,57.15,63.86
2017-12-07,56.5,62.37
2017-12-06,55.79,62.25
2017-12-05,57.66,63.45
2017-12-04,57.48,63.45
2017-12-01,58.35,64.57
2017-11-30,57.4,63.53
2017-11-29,57.25,63.74
2017-11-28,57.96,63.56
2017-11-27,58.1,63.25
2017-11-24,58.94,63.58
2017-11-23,,63.27
2017-11-22,57.88,62.92
2017-11-21,56.84,62.28
2017-11-20,56.21,61.34
2017-11-17,56.21,61.34
2017-11-16,55.14,61.18
2017-11-15,55.28,61.25
2017-11-14,55.67,60.91
2017-11-13,56.77,62.94
2017-11-10,56.75,64.35
2017-11-09,57.16,64.49
2017-11-08,56.82,63.96
2017-11-07,57.19,64.36
2017-11-06,57.34,64.27
2017-11-03,55.63,61.42
2017-11-02,54.55,60.79
2017-11-01,54.32,60.98
2017-10-31,54.36,61.35
2017-10-30,54.11,60.65
2017-10-27,53.92,60.15
2017-10-26,52.41,58.75
2017-10-25,51.97,58.45
2017-10-24,52.32,57.84
2017-10-23,51.91,57.69
2017-10-20,51.63,57.89
2017-10-19,51.29,57.82
2017-10-18,52.05,58.05
2017-10-17,51.87,57.63
2017-10-16,51.86,57.49
2017-10-13,51.43,56.86
2017-10-12,50.61,56.13
2017-10-11,51.3,56.13
2017-10-10,50.93,56.62
2017-10-09,49.58,55.29
2017-10-06,49.34,55.5
2017-10-05,50.79,57.09
2017-10-04,50,56
2017-10-03,50.44,56.12
2017-10-02,50.59,55.67
2017-09-29,51.67,57.02
2017-09-28,51.62,58.8
2017-09-27,52.14,58.74
2017-09-26,51.59,59.77
2017-09-25,51.85,59.42
2017-09-22,50.33,58.16
2017-09-21,50.58,57.73
2017-09-20,50.29,57.2
2017-09-19,49.54,56.58
2017-09-18,49.88,55.5
2017-09-15,49.9,56.18
2017-09-14,49.86,56.76
2017-09-13,49.3,55.52
2017-09-12,48.21,55.06
2017-09-11,48.06,54.2
2017-09-08,47.44,54.55
2017-09-07,49.1,54.16
2017-09-06,49.13,54.48
2017-09-05,48.63,53.63
2017-09-04,,52.6
2017-09-01,47.32,53.15
2017-08-31,47.26,52.69
2017-08-30,45.96,51.91
2017-08-29,46.46,51.64
2017-08-28,46.4,51.87
2017-08-25,47.65,51.87
2017-08-24,47.24,51.73
2017-08-23,48.45,52.31
2017-08-22,47.65,52.29
2017-08-21,47.39,51.94
2017-08-18,48.59,50.96
2017-08-17,47.07,50.37
2017-08-16,46.8,50.39
2017-08-15,47.57,49.9
2017-08-14,47.59,51.29
2017-08-11,48.81,51.47
2017-08-10,48.54,52.59
2017-08-09,49.59,52.16
2017-08-08,49.07,52.18
2017-08-07,49.37,51.42
2017-08-04,49.57,52.48
2017-08-03,49.03,52.88
2017-08-02,49.6,52.09
2017-08-01,49.19,50.77
2017-07-31,50.21,51.99
2017-07-28,49.72,52
2017-07-27,49.05,50.67
2017-07-26,48.58,50.08
2017-07-25,47.77,49.19
2017-07-24,46.21,47.81
2017-07-21,45.78,47.47
2017-07-20,46.73,48.54
2017-07-19,47.1,48.34
2017-07-18,46.4,47.92
2017-07-17,46.02,47.66
2017-07-14,46.53,47.89
2017-07-13,46.06,47.65
2017-07-12,45.48,46.73
2017-07-11,45.06,46.68
2017-07-10,44.4,46.57
2017-07-07,44.25,46.47
2017-07-06,45.52,48.53
2017-07-05,45.11,47.58
2017-07-04,,49.15
2017-07-03,,49.13
2017-06-30,46.02,47.08
2017-06-29,44.88,47.02
2017-06-28,44.74,46.45
2017-06-27,44.25,46.17
2017-06-26,43.24,44.09
2017-06-23,42.86,44.14
2017-06-22,42.53,44.46
2017-06-21,42.48,44.62
2017-06-20,43.34,43.98
2017-06-19,44.24,45.93
2017-06-16,44.73,45.7
2017-06-15,44.47,45.61
2017-06-14,44.79,45.47
2017-06-13,46.41,46.95
2017-06-12,46.1,47.18
2017-06-09,45.82,46.64
2017-06-08,45.68,46.3
2017-06-07,45.8,47.08
2017-06-06,48.13,48.11
2017-06-05,47.4,48.25
2017-06-02,47.68,48.46
2017-06-01,48.32,50.41
2017-05-31,48.29,49.4
2017-05-30,49.63,50.65
2017-05-29,,52.25
2017-05-26,49.58,50.84
2017-05-25,48.57,52.25
2017-05-24,50.99,53.29
2017-05-23,51.12,53.19
2017-05-22,50.81,53.35
2017-05-19,50.32,52.78
2017-05-18,49.36,51.71
2017-05-17,49.04,51.76
2017-05-16,48.64,51.21
2017-05-15,48.86,51.29
2017-05-12,47.83,49.08
2017-05-11,47.81,49.18
2017-05-10,47.28,48.09
2017-05-09,45.84,47.06
2017-05-08,46.46,46.61
2017-05-05,46.23,47.45
2017-05-04,45.55,47.53
2017-05-03,47.79,48.82
2017-05-02,47.65,49.31
2017-05-01,48.83,50.41
2017-04-28,49.31,49.46
2017-04-27,48.96,49.46
2017-04-26,49.22,49.99
2017-04-25,49.22,49.37
2017-04-24,48.9,49.45
2017-04-21,49.64,49.93
2017-04-20,50.26,50.66
2017-04-19,50.49,52.43
2017-04-18,52.46,52.6
2017-04-17,52.62,54.79
2017-04-13,53.19,55.05
2017-04-12,53.12,54.75
2017-04-11,53.38,54.73
2017-04-10,53.06,54.79
2017-04-07,52.25,54.24
2017-04-06,51.69,53.62
2017-04-05,51.14,53.41
2017-04-04,50.99,53.08
2017-04-03,50.25,52.04
2017-03-31,50.54,52.2
2017-03-30,50.3,52.25
2017-03-29,49.47,51.36
2017-03-28,48.36,50.72
2017-03-27,47.02,50.12
2017-03-24,47.3,49.97
2017-03-23,47,50.17
2017-03-22,47.29,49.56
2017-03-21,47.02,50.14
2017-03-20,47.79,50.67
2017-03-17,48.34,50.58
2017-03-16,48.3,50.56
2017-03-15,48.34,50.63
2017-03-14,47.24,49.6
2017-03-13,47.95,50.1
2017-03-10,48.05,50.63
2017-03-09,48.75,50.65
2017-03-08,49.83,53.3
2017-03-07,52.68,54.61
2017-03-06,53.19,54.73
2017-03-03,53.33,54.12
2017-03-02,52.63,54.16
2017-03-01,53.82,55.72
2017-02-28,54,53.36
2017-02-27,54.04,54.65
2017-02-24,53.99,54.69
2017-02-23,54.48,55.82
2017-02-22,53.61,54.9
2017-02-21,54.02,56.34
2017-02-20,,55.25
2017-02-17,53.41,54.48
2017-02-16,53.41,54.16
2017-02-15,53.11,54.57
2017-02-14,53.21,54.96
2017-02-13,52.96,54.15
2017-02-10,53.84,55.2
2017-02-09,52.99,53.98
2017-02-08,52.37,54.42
2017-02-07,52.19,53.79
2017-02-06,53.01,55.02
2017-02-03,53.81,55.92
2017-02-02,53.55,55.94
2017-02-01,53.9,55.79
2017-01-31,52.75,55.25
2017-01-30,52.63,54.77
2017-01-27,53.18,54.8
2017-01-26,53.24,55.89
2017-01-25,52.14,54.34
2017-01-24,52.38,54.7
2017-01-23,52.77,54.8
2017-01-20,52.33,55.04
2017-01-19,51.39,53.18
2017-01-18,51.12,53.77
2017-01-17,52.45,54.68
2017-01-16,,54.3
2017-01-13,52.36,54.37
2017-01-12,53.01,54.51
2017-01-11,52.19,53.61
2017-01-10,50.82,53.2
2017-01-09,51.95,54.39
2017-01-06,53.98,55.9
2017-01-05,53.77,54.99
2017-01-04,53.26,54.57
2017-01-03,52.36,55.05
2016-12-30,53.75,54.96
2016-12-29,53.8,54.95
2016-12-28,54.01,53.93
2016-12-27,52.82,53.93
2016-12-23,52.01,53.93
2016-12-22,51.98,54.04
2016-12-21,51.44,53.01
2016-12-20,52.22,54.56
2016-12-19,52.13,53.53
2016-12-16,51.93,54.15
2016-12-15,50.9,51.72
2016-12-14,51.01,53.15
2016-12-13,52.99,53.28
2016-12-12,52.74,53.99
2016-12-09,51.51,52.19
2016-12-08,50.84,51.6
2016-12-07,49.85,51.9
2016-12-06,50.95,52.31
2016-12-05,51.72,53.3
2016-12-02,51.7,52.35
2016-12-01,51.08,52.28
2016-11-30,49.41,47.95
2016-11-29,45.29,44.68
2016-11-28,45.66,46.64
2016-11-25,46.72,46.32
2016-11-24,,47.54
2016-11-23,46.72,46.54
2016-11-22,48.07,46.1
2016-11-21,47.48,45.96
2016-11-18,45.69,44.41
2016-11-17,45.37,44.57
2016-11-16,45.56,45.07
2016-11-15,45.86,44.15
2016-11-14,43.29,41.83
2016-11-11,43.39,41.61
2016-11-10,44.62,43.67
2016-11-09,45.2,43.88
2016-11-08,44.96,43.47
2016-11-07,44.88,42.83
2016-11-04,44.07,43.06
2016-11-03,44.66,43.84
2016-11-02,45.32,44.26
2016-11-01,46.66,
2016-10-31,46.83,46.2
2016-10-28,48.72,47.78
2016-10-27,49.71,49.13
2016-10-26,48.75,48.98
2016-10-25,49.45,49.08
2016-10-24,50.18,49.8
2016-10-21,50.61,50.28
2016-10-20,50.31,50.42
2016-10-19,51.59,51.85
2016-10-18,50.3,49.81
2016-10-17,49.97,49.31
2016-10-14,50.35,48.87
2016-10-13,50.47,49.29
2016-10-12,50.14,49.53
2016-10-11,50.72,50.48
2016-10-10,49.76,51.54
2016-10-07,49.76,50.49
2016-10-06,50.44,50.14
2016-10-05,49.75,49.57
2016-10-04,48.67,48.81
2016-10-03,48.8,48.61
2016-09-30,47.72,48.24
2016-09-29,47.72,48.43
2016-09-28,47.07,45.49
2016-09-27,44.65,44.95
2016-09-26,45.6,46.61
2016-09-23,44.36,46.71
2016-09-22,46.1,47.21
2016-09-21,45.33,45.99
2016-09-20,43.85,45.24
2016-09-19,43.34,46.04
2016-09-16,43.04,45.26
2016-09-15,43.85,45.83
2016-09-14,43.62,45.65
2016-09-13,44.91,46.48
2016-09-12,46.28,47.82
2016-09-09,45.88,48.37
2016-09-08,47.63,49.23
2016-09-07,45.47,47
2016-09-06,44.85,46.21
2016-09-05,44.39,46.72
2016-09-02,44.39,45.96
2016-09-01,43.17,45.05
2016-08-31,44.68,47.94
2016-08-30,46.32,47.94
2016-08-29,46.97,49.66
2016-08-26,47.64,49.66
2016-08-25,46.97,49.25
2016-08-24,46.29,47.56
2016-08-23,47.54,48.7
2016-08-22,46.8,48.1
2016-08-19,48.48,49.39
2016-08-18,48.2,49.46
2016-08-17,46.81,48.58
2016-08-16,46.57,48.27
2016-08-15,45.72,47.31
2016-08-12,44.47,45.12
2016-08-11,43.51,44.23
2016-08-10,41.75,42.19
2016-08-09,42.78,43.37
2016-08-08,43.06,43.24
2016-08-05,41.83,42.47
2016-08-04,41.92,41.33
2016-08-03,40.8,40.45
2016-08-02,39.5,40
2016-08-01,40.05,40.17
2016-07-29,41.54,40.76
2016-07-28,41.13,41.87
2016-07-27,41.9,42.78
2016-07-26,42.16,43.56
2016-07-25,42.4,43.76
2016-07-22,43.41,44.24
2016-07-21,43.96,44.99
2016-07-20,44.96,45.82
2016-07-19,44.64,45.7
2016-07-18,45.23,45.35
2016-07-15,45.93,46.25
2016-07-14,45.64,46.01
2016-07-13,44.87,44.67
2016-07-12,46.82,46.72
2016-07-11,44.73,44.04
2016-07-08,45.37,44.53
2016-07-07,45.22,45.93
2016-07-06,47.37,45.7
2016-07-05,46.73,45.64
2016-07-04,,48.02
2016-07-01,49.02,47.65
2016-06-30,48.27,48.05
2016-06-29,49.85,48.4
2016-06-28,47.93,46.29
2016-06-27,45.8,45.07
2016-06-24,46.7,46.69
2016-06-23,49.34,48.63
2016-06-22,49.16,48.43
2016-06-21,48.95,48.18
2016-06-20,49.4,48.68
2016-06-17,48,46.57
2016-06-16,46.14,45.66
2016-06-15,47.92,47.47
2016-06-14,48.49,47.88
2016-06-13,48.89,49.36
2016-06-10,49.09,49.7
2016-06-09,50.52,50.59
2016-06-08,51.23,50.73
2016-06-07,50.37,49.76
2016-06-06,49.71,48.94
2016-06-03,48.69,48.5
2016-06-02,49.14,49.05
2016-06-01,49.07,48.81
2016-05-31,49.1,49.26
2016-05-27,49.36,49.09
2016-05-26,49,49.52
2016-05-25,49.1,48.87
2016-05-24,48.04,48.42
2016-05-23,48.12,47.77
2016-05-20,47.67,48.54
2016-05-19,48.16,47.01
2016-05-18,48.12,48.93
2016-05-17,48.29,48.71
2016-05-16,47.72,48.49
2016-05-13,46.22,47.05
2016-05-12,46.64,46.43
2016-05-11,46.21,46.08
2016-05-10,44.68,44.01
2016-05-09,43.45,42.43
2016-05-06,44.58,44.6
2016-05-05,44.33,44.39
2016-05-04,43.77,43.08
2016-05-03,43.65,43.09
2016-05-02,44.75,45.82
2016-04-29,45.98,45.64
2016-04-28,46.03,45.6
2016-04-27,45.29,44.17
2016-04-26,42.52,43.94
2016-04-25,41.67,42.97
2016-04-22,42.76,43.97
2016-04-21,43.18,43.48
2016-04-20,42.72,43.09
2016-04-19,40.88,43.02
2016-04-18,39.74,41.64
2016-04-15,40.4,41.32
2016-04-14,41.45,43.02
2016-04-13,41.7,42.81
2016-04-12,42.12,43.02
2016-04-11,40.46,41.58
2016-04-08,39.74,40.71
2016-04-07,37.3,37.15
2016-04-06,37.74,37.77
2016-04-05,34.52,35.88
2016-04-04,34.3,36.05
2016-04-01,35.36,36.42
2016-03-31,36.94,36.75
2016-03-30,36.91,36.75
2016-03-29,36.91,36.75
2016-03-28,37.99,38.33
2016-03-24,38.14,38.33
2016-03-23,38.28,38.84
2016-03-22,41.45,40.54
2016-03-21,39.91,39.91
2016-03-18,39.47,39.26
2016-03-17,40.17,39.29
2016-03-16,38.43,38.38
2016-03-15,36.32,37.49
2016-03-14,37.2,38.06
2016-03-11,38.51,39.41
2016-03-10,37.77,38.63
2016-03-09,37.62,40.26
2016-03-08,36.67,39.16
2016-03-07,37.9,39.02
2016-03-04,35.91,37.61
2016-03-03,34.56,35.75
2016-03-02,34.57,36.38
2016-03-01,34.39,35.73
2016-02-29,32.74,35.92
2016-02-26,31.65,35.76
2016-02-25,31.4,32.83
2016-02-24,30.35,31.5
2016-02-23,31.84,31.9
2016-02-22,31.37,33.59
2016-02-19,29.59,31.66
2016-02-18,30.77,33.2
2016-02-17,30.68,33.21
2016-02-16,29.05,31.09
2016-02-12,29.32,31.8
2016-02-11,26.19,28.82
2016-02-10,27.54,29.64
2016-02-09,27.96,30.15
2016-02-08,29.71,31.64
2016-02-05,30.86,32.35
2016-02-04,31.63,32.76
2016-02-03,32.29,32.38
2016-02-02,29.9,30.98
2016-02-01,31.62,32.45
2016-01-29,33.66,33.14
2016-01-28,33.21,33.01
2016-01-27,32.32,31.83
2016-01-26,29.54,30.94
2016-01-25,30.31,29.82
2016-01-22,32.07,30.46
2016-01-21,29.55,27.59
2016-01-20,26.68,26.01
2016-01-19,28.47,27.36
2016-01-18,,27.36
2016-01-15,29.45,28.8
2016-01-14,31.22,28.84
2016-01-13,30.42,28.58
2016-01-12,30.42,29.14
2016-01-11,31.42,30.14
2016-01-08,33.2,31.67
2016-01-07,33.29,33.57
2016-01-06,33.97,33.89
2016-01-05,35.97,35.56
2016-01-04,36.81,36.28
2016-01-01,37.13,36.61
2015-12-31,37.13,36.61
2015-12-30,36.59,35.65
2015-12-29,37.88,36.85
2015-12-28,36.36,37.08
2015-12-25,37.6,37.08
2015-12-24,37.62,37.22
2015-12-23,36.76,35.79
2015-12-22,36.12,35.26
2015-12-21,34.55,35.34
2015-12-18,34.72,36.76
2015-12-17,34.98,36.29
2015-12-16,35.55,36.96
2015-12-15,37.32,37.66
2015-12-14,36.31,36.51
2015-12-11,35.65,36.99
2015-12-10,36.76,38.65
2015-12-09,37.16,39.04
2015-12-08,37.46,39.44
2015-12-07,37.64,39.69
2015-12-04,40,41.44
2015-12-03,41.08,42
2015-12-02,39.93,41.92
2015-12-01,40.58,42.97
2015-11-30,40.43,43.73
2015-11-27,40.57,43.07
2015-11-26,41.22,43.55
2015-11-25,41.22,43.56
2015-11-24,40.89,44.38
2015-11-23,39.27,43.7
2015-11-20,39.39,42.49
2015-11-19,40.55,42.22
2015-11-18,40.75,41.45
2015-11-17,40.73,41.28
2015-11-16,41.68,40.28
2015-11-13,40.69,41.98
2015-11-12,41.74,44.98
2015-11-11,42.95,44.98
2015-11-10,44.23,46.44
2015-11-09,43.87,45.38
2015-11-06,44.32,46.09
2015-11-05,45.27,47.19
2015-11-04,46.32,46.96
2015-11-03,47.88,48
2015-11-02,46.12,47.91
2015-10-30,46.6,48
2015-10-29,46.02,48.04
2015-10-28,45.93,47.6
2015-10-27,43.21,45.54
2015-10-26,43.19,46.57
2015-10-23,43.91,46.3
2015-10-22,44.9,46.59
2015-10-21,45.22,46.72
2015-10-20,45.84,46.93
2015-10-19,45.91,47.51
2015-10-16,47.3,48.96
2015-10-15,46.38,47.87
2015-10-14,46.63,48.25
2015-10-13,46.7,48.94
2015-10-12,47.09,50.95
2015-10-09,49.67,52.08
2015-10-08,49.46,52.13
2015-10-07,47.86,51.66
2015-10-06,48.53,51.34
2015-10-05,46.28,49.45
2015-10-02,45.54,46.55
2015-10-01,44.75,47.48
2015-09-30,45.06,47.29
2015-09-29,45.24,47.58
2015-09-28,44.4,46.04
2015-09-25,45.55,47.28
2015-09-24,44.94,47.06
2015-09-23,44.53,48
2015-09-22,46.17,46.69
2015-09-21,46.67,47.64
2015-09-18,44.71,47.28
2015-09-17,46.93,48.27
2015-09-16,47.12,49.35
2015-09-15,44.58,45.91
2015-09-14,44.07,45.87
2015-09-11,44.75,46.87
2015-09-10,45.85,47.77
2015-09-09,44.13,48.04
2015-09-08,45.92,48.88
2015-09-07,,46.42
2015-09-04,46.02,48.59
2015-09-03,46.75,50.41
2015-09-02,46.3,47.67
2015-09-01,45.38,48.8
2015-08-31,49.2,47.97
2015-08-28,45.29,47.97
2015-08-27,42.47,44.46
2015-08-26,38.5,41.76
2015-08-25,39.15,41.86
2015-08-24,38.22,41.59
2015-08-21,40.45,43.84
2015-08-20,41,45.63
2015-08-19,40.75,45.75
2015-08-18,42.58,47
2015-08-17,41.93,47.77
2015-08-14,42.45,47.79
2015-08-13,42.27,48.01
2015-08-12,43.22,48.29
2015-08-11,43.11,47.33
2015-08-10,44.94,48.3
2015-08-07,43.87,47.54
2015-08-06,44.69,47.8
2015-08-05,45.13,49.04
2015-08-04,45.75,49.08
2015-08-03,45.25,49.49
2015-07-31,47.11,53.29
2015-07-30,48.53,54.29
2015-07-29,48.77,54.73
2015-07-28,47.97,54.3
2015-07-27,47.17,54.07
2015-07-24,47.98,54.29
2015-07-23,48.11,55.76
2015-07-22,49.27,56.36
2015-07-21,50.59,55.94
2015-07-20,50.11,56.42
2015-07-17,50.88,56.38
2015-07-16,50.9,57.31
2015-07-15,51.4,57.34
2015-07-14,53.05,57.2
2015-07-13,52.19,57.63
2015-07-10,52.74,57.72
2015-07-09,52.76,57.83
2015-07-08,51.61,55.7
2015-07-07,52.33,54.72
2015-07-06,52.48,57.19
2015-07-03,,59.06
2015-07-02,56.93,61.73
2015-07-01,56.94,61.65
2015-06-30,59.48,60.31
2015-06-29,58.34,59.03
2015-06-26,59.41,60.14
2015-06-25,59.59,60.24
2015-06-24,60.01,61.63
2015-06-23,61.05,61.67
2015-06-22,60.01,60.54
2015-06-19,59.62,59.41
2015-06-18,60.41,61.37
2015-06-17,59.89,60.75
2015-06-16,60.01,60.75
2015-06-15,59.53,60.99
2015-06-12,59.96,63.19
2015-06-11,60.74,63.76
2015-06-10,61.36,64.68
2015-06-09,60.15,63.23
2015-06-08,58.15,61.33
2015-06-05,59.11,60.36
2015-06-04,58,60.34
2015-06-03,59.67,62.78
2015-06-02,61.3,63.14
2015-06-01,60.24,62.87
2015-05-29,60.25,63.16
2015-05-28,57.69,60.12
2015-05-27,57.51,61.35
2015-05-26,57.29,61.65
2015-05-22,58.88,64.7
2015-05-21,60.18,64.7
2015-05-20,58.96,63.52
2015-05-19,57.3,63.48
2015-05-18,59.44,65.15
2015-05-15,59.73,64.69
2015-05-14,59.89,65.58
2015-05-13,60.5,66.33
2015-05-12,60.72,65.09
2015-05-11,59.23,62.82
2015-05-08,59.41,63.82
2015-05-07,58.99,64.93
2015-05-06,60.93,66.22
2015-05-05,60.38,65.44
2015-05-04,58.92,64.62
2015-05-01,59.1,64.13
2015-04-30,59.62,63.9
2015-04-29,58.55,63.97
2015-04-28,57.05,62.61
2015-04-27,55.56,62.86
2015-04-24,55.98,62.96
2015-04-23,56.59,62.66
2015-04-22,56.17,60.12
2015-04-21,55.58,60.12
2015-04-20,56.37,61.2
2015-04-17,55.71,61.31
2015-04-16,56.69,60.13
2015-04-15,56.25,59.32
2015-04-14,53.3,57.69
2015-04-13,51.95,57.14
2015-04-10,51.63,56.82
2015-04-09,50.79,56.04
2015-04-08,50.44,56.42
2015-04-07,53.95,57.55
2015-04-06,52.08,55.73
2015-04-02,49.13,55.73
2015-04-01,50.12,55.73
2015-03-31,47.72,53.69
2015-03-30,48.66,53.99
2015-03-27,48.83,56.44
2015-03-26,51.41,57.02
2015-03-25,48.75,54.18
2015-03-24,47.03,53.61
2015-03-23,47.4,53.82
2015-03-20,46,53.88
2015-03-19,44.02,52.96
2015-03-18,44.63,52.59
2015-03-17,43.39,52.17
2015-03-16,43.93,52
2015-03-13,44.88,54.8
2015-03-12,47.12,56.66
2015-03-11,48.06,56.46
2015-03-10,48.42,55.95
2015-03-09,49.95,58.67
2015-03-06,49.61,59.15
2015-03-05,50.76,60.33
2015-03-04,51.53,59.18
2015-03-03,50.43,61.18
2015-03-02,49.59,60.75
2015-02-27,49.84,61.89
2015-02-26,47.65,61.39
2015-02-25,50.25,59.77
2015-02-24,48.48,60.33
2015-02-23,49.56,59.78
2015-02-20,49.95,60.99
2015-02-19,51.12,58.78
2015-02-18,52.13,60.72
2015-02-17,53.56,60.78
2015-02-16,,61.57
2015-02-13,52.66,60.33
2015-02-12,51.17,56.23
2015-02-11,48.8,53.48
2015-02-10,50.06,55.79
2015-02-09,52.99,57
2015-02-06,51.66,55.88
2015-02-05,50.48,55.98
